文件名,字符数,词语数,句子数,段落数,不同词汇数,平均句长,平均词长,词汇丰富度(TTR),可读性指数
“关于尽快建设都兰地区通用机场或起降点的提...(FBM-CLI.14.5264254).txt,577,94,12,10,60,7.83,3.11,0.6383,22.0
中国保监会黑龙江监管局关于做好2014年全省农业...(FBM-CLI.14.906098).txt,2298,528,39,16,339,13.54,2.49,0.642,24.67
云南省人民政府关于表彰成功侦破腾冲“1·30”...(FBM-CLI.14.874089).txt,837,197,15,17,131,13.13,2.94,0.665,23.32
北京市东城区人民政府关于2009―2011年度东城区科学...(FBM-CLI.14.695659).txt,1915,429,14,10,295,30.64,2.77,0.6876,30.94
北京市人民政府关于在中国人民抗日战争暨世界...(FBM-CLI.14.1104520).txt,1034,234,18,6,129,13.0,2.98,0.5513,28.94
北京市人民政府关于在首都国庆60周年活动期间...(FBM-CLI.14.337454).txt,610,128,13,4,75,9.85,3.0,0.5859,25.63
北京市发展和改革委员会关于开展2013年北京市工...(FBM-CLI.14.765329).txt,1851,408,41,22,199,9.95,2.67,0.4877,30.59
北京市教育委员会关于同意北京市第57中学等学...(FBM-CLI.15.601363).txt,1088,246,19,6,161,12.95,2.71,0.6545,23.75
北京市教育委员会关于批准北京航空航天大学通...(FBM-CLI.14.740843).txt,436,62,8,8,41,7.75,3.97,0.6613,20.81
北京市科学技术委员会关于公布2011年度北京市战...(FBM-CLI.14.587891).txt,1642,362,11,119,232,32.91,2.69,0.6409,34.41
北京市科学技术委员会关于征集无人机领域2015年...(FBM-CLI.14.7196935).txt,1234,261,21,31,161,12.43,2.76,0.6169,25.37
北京市经济和信息化委员会关于印发《北京市通...(FBM-CLI.14.593336).txt,8744,1932,155,128,675,12.46,2.39,0.3494,38.76
四川省人民政府关于四川广汉经济开发区扩区调...(FBM-CLI.14.4660747).txt,769,147,15,13,113,9.8,3.03,0.7687,16.46
四川省测绘地理信息学会关于举办测绘地理信息...(FBM-CLI.14.3208020).txt,539,113,15,19,65,7.53,3.22,0.5752,25.01
宁夏回族自治区发展和改革委员会关于加大我区...(FBM-CLI.14.5424891).txt,1602,307,35,16,214,8.77,2.59,0.6971,19.53
安徽省交通运输厅关于对安徽省十届政协四次会...(FBM-CLI.14.2615434).txt,739,137,15,14,80,9.13,2.77,0.5839,25.37
安徽省交通运输厅关于对省十二届人大四次会议...(FBM-CLI.14.2602383).txt,3667,803,66,30,419,12.17,2.43,0.5218,29.99
安徽省交通运输厅关于对省十二届人大第三次会...(FBM-CLI.14.2616694).txt,1888,366,35,30,229,10.46,2.52,0.6257,23.94
安徽省人民政府办公厅关于印发2015年省重大前期...(FBM-CLI.14.1074654).txt,16982,3790,265,8,1319,14.3,2.49,0.348,39.75
安徽省人民政府办公厅关于印发2018年省重大前期...(FBM-CLI.14.1450355).txt,12677,2704,223,10,1179,12.13,2.53,0.436,34.26
